"","series","parallel"
"1",9.05599999999959,4.02899999999954
"2",16.0219999999999,8.61699999999928
"3",26.8680000000004,15.8829999999998
"4",43.5590000000002,16.5590000000002
"5",45.4340000000002,19.7800000000007
"6",50.3629999999994,24.9690000000001
"7",60.9029999999993,28.5060000000003
"8",69.0050000000001,33.9170000000004
"9",81.0339999999997,37.9439999999995
"10",93.848,45.0609999999997
"11",105.993,51.3640000000005
"12",123.880999999999,58.3490000000002
"13",114.914,52.982
"14",136.761,57.5079999999998
"15",139.945,61.2939999999999
"16",153.938999999999,64.5009999999993
"17",153.41,68.3160000000007
"18",156.514,72.1729999999998
"19",168.354,76.1889999999994
"20",177.289000000001,80.7150000000001
